"country","iso3","decoupling_status","trade_role"
"Argentina","ARG","经济收缩型减排","基本平衡"
"Australia","AUS","完全脱钩","代工承担者"
"Bangladesh","BGD","基本脱钩","转嫁者"
"Brazil","BRA","完全脱钩","基本平衡"
"Canada","CAN","完全脱钩","代工承担者"
"China","CHN","基本脱钩","代工承担者"
"Egypt","EGY","完全脱钩","基本平衡"
"France","FRA","完全脱钩","转嫁者"
"Germany","DEU","完全脱钩","转嫁者"
"India","IND","未脱钩","代工承担者"
"Indonesia","IDN","依赖","基本平衡"
"Iran","IRN","依赖","代工承担者"
"Italy","ITA","完全脱钩","转嫁者"
"Japan","JPN","经济收缩型减排","转嫁者"
"Kazakhstan","KAZ","完全脱钩","代工承担者"
"Malaysia","MYS","未脱钩","基本平衡"
"Mexico","MEX","完全脱钩","转嫁者"
"Mongolia","MNG","未脱钩","贸易数据缺失"
"Nigeria","NGA","依赖","基本平衡"
"Pakistan","PAK","完全脱钩","基本平衡"
"Philippines","PHL","未脱钩","转嫁者"
"Poland","POL","完全脱钩","代工承担者"
"Qatar","QAT","未脱钩","贸易数据缺失"
"Russia","RUS","基本脱钩","代工承担者"
"Saudi Arabia","SAU","基本脱钩","代工承担者"
"South Africa","ZAF","完全脱钩","代工承担者"
"South Korea","KOR","完全脱钩","转嫁者"
"Thailand","THA","完全脱钩","转嫁者"
"Turkey","TUR","基本脱钩","基本平衡"
"United Arab Emirates","ARE","未脱钩","转嫁者"
"United Kingdom","GBR","完全脱钩","转嫁者"
"United States","USA","完全脱钩","转嫁者"
"Vietnam","VNM","依赖","代工承担者"
